road,one-plus-o29,random--la114,random--la123,random--la1014,random--la1017,random--la1021,random--la1022,random--la214,random--la231,random--la232,random--la314,random--la413,random--la425,random--la430,random--la435,random--la52,random--la519,random--la523,random--la531,random--la68,random--la614,random--la635,random--la653,random--la654,random--la655,random--la658,random--la661,random--la732,random--la83,random--la828
one-plus-o29,1.0,0.75,0.6875,0.625,0.8125,0.875,0.875,0.8125,0.8125,0.875,0.875,0.8125,0.875,0.75,0.8125,0.875,0.8125,0.8125,0.75,0.75,0.875,0.875,0.8125,0.875,0.9375,0.75,0.75,0.875,0.875,0.875
random--la114,0.75,1.0,0.9375,0.875,0.8125,0.75,0.75,0.9375,0.8125,0.75,0.75,0.6875,0.75,0.875,0.8125,0.75,0.8125,0.6875,0.875,0.875,0.75,0.75,0.9375,0.625,0.8125,0.875,0.875,0.75,0.75,0.75
random--la123,0.6875,0.9375,1.0,0.9375,0.75,0.6875,0.6875,0.875,0.75,0.6875,0.6875,0.625,0.6875,0.8125,0.75,0.6875,0.75,0.625,0.8125,0.8125,0.6875,0.6875,0.875,0.5625,0.75,0.8125,0.8125,0.6875,0.6875,0.6875
random--la1014,0.625,0.875,0.9375,1.0,0.8125,0.75,0.75,0.8125,0.8125,0.75,0.625,0.6875,0.75,0.875,0.8125,0.75,0.8125,0.6875,0.875,0.875,0.75,0.75,0.8125,0.625,0.6875,0.875,0.875,0.625,0.625,0.625
random--la1017,0.8125,0.8125,0.75,0.8125,1.0,0.9375,0.9375,0.875,1.0,0.9375,0.8125,0.875,0.9375,0.9375,1.0,0.9375,1.0,0.875,0.9375,0.9375,0.9375,0.9375,0.875,0.8125,0.875,0.9375,0.9375,0.8125,0.8125,0.8125
random--la1021,0.875,0.75,0.6875,0.75,0.9375,1.0,1.0,0.8125,0.9375,1.0,0.875,0.9375,1.0,0.875,0.9375,1.0,0.9375,0.9375,0.875,0.875,1.0,1.0,0.8125,0.875,0.9375,0.875,0.875,0.875,0.875,0.875
random--la1022,0.875,0.75,0.6875,0.75,0.9375,1.0,1.0,0.8125,0.9375,1.0,0.875,0.9375,1.0,0.875,0.9375,1.0,0.9375,0.9375,0.875,0.875,1.0,1.0,0.8125,0.875,0.9375,0.875,0.875,0.875,0.875,0.875
random--la214,0.8125,0.9375,0.875,0.8125,0.875,0.8125,0.8125,1.0,0.875,0.8125,0.8125,0.75,0.8125,0.9375,0.875,0.8125,0.875,0.75,0.9375,0.9375,0.8125,0.8125,1.0,0.6875,0.875,0.9375,0.9375,0.8125,0.8125,0.8125
random--la231,0.8125,0.8125,0.75,0.8125,1.0,0.9375,0.9375,0.875,1.0,0.9375,0.8125,0.875,0.9375,0.9375,1.0,0.9375,1.0,0.875,0.9375,0.9375,0.9375,0.9375,0.875,0.8125,0.875,0.9375,0.9375,0.8125,0.8125,0.8125
random--la232,0.875,0.75,0.6875,0.75,0.9375,1.0,1.0,0.8125,0.9375,1.0,0.875,0.9375,1.0,0.875,0.9375,1.0,0.9375,0.9375,0.875,0.875,1.0,1.0,0.8125,0.875,0.9375,0.875,0.875,0.875,0.875,0.875
